Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Tapiwa F. Machingauta,Shot Right Corner Goal,0,19,93,42,-,-
Home,Shamik Patel,Shot Left OpenPlay Miss,1,37,75,55,-,-
Home,Brennan Wu,Shot Head OpenPlay Miss,2,7,91,55,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,2,35,78,65,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,3,26,89,56,-,-
Home,Ryan Olans,Shot Left OpenPlay Miss,4,19,92,36,-,-
Home,Gavin Johnson,Shot Head OpenPlay Goal,6,55,92,56,-,-
Home,Gavin Johnson,Shot Right OpenPlay Goal,7,2,93,54,-,-
Home,Peter Horner,Shot Right OpenPlay Miss,8,12,92,44,-,-
