Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,Gavin Johnson,Shot Right OpenPlay Miss,2,54,88,73,-,-
Away,Gavin Johnson,Shot Right Penalty Miss,3,5,89,50,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,3,51,92,41,-,-
Away,Rom Brown,Shot Right OpenPlay Miss,4,18,83,52,-,-
Away,Enrique Gudino De Grote,Shot Left OpenPlay Miss,4,43,83,33,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,5,43,90,41,-,-
Away,Rom Brown,Shot Right OpenPlay Miss,6,23,81,56,-,-
Away,Ryan Olans,Shot Left OpenPlay Miss,6,45,78,34,-,-
